brand_slug,brand_name,model_slug,model_name,model_url,model_source
hyundai,Hyundai,venue,Venue,https://www.carwale.com/hyundai-cars/venue/,carwale
hyundai,Hyundai,exter,Exter,https://www.carwale.com/hyundai-cars/exter/,carwale
hyundai,Hyundai,i20,I20,https://www.carwale.com/hyundai-cars/i20/,carwale
hyundai,Hyundai,grand-i10-nios,Grand I10 Nios,https://www.carwale.com/hyundai-cars/grand-i10-nios/,carwale
hyundai,Hyundai,verna,Verna,https://www.carwale.com/hyundai-cars/verna/,carwale
hyundai,Hyundai,aura,Aura,https://www.carwale.com/hyundai-cars/aura/,carwale
hyundai,Hyundai,creta-electric,Creta Electric,https://www.carwale.com/hyundai-cars/creta-electric/,carwale
hyundai,Hyundai,alcazar,Alcazar,https://www.carwale.com/hyundai-cars/alcazar/,carwale
hyundai,Hyundai,venue-n-line,Venue N Line,https://www.carwale.com/hyundai-cars/venue-n-line/,carwale
hyundai,Hyundai,i20-n-line,I20 N Line,https://www.carwale.com/hyundai-cars/i20-n-line/,carwale
hyundai,Hyundai,creta-n-line,Creta N Line,https://www.carwale.com/hyundai-cars/creta-n-line/,carwale
hyundai,Hyundai,ioniq-5,Ioniq 5,https://www.carwale.com/hyundai-cars/ioniq-5/,carwale
hyundai,Hyundai,mid-size-suv,Mid Size Suv,https://www.carwale.com/hyundai-cars/mid-size-suv/,carwale
hyundai,Hyundai,bayon,Bayon,https://www.carwale.com/hyundai-cars/bayon/,carwale
hyundai,Hyundai,ioniq-6,Ioniq 6,https://www.carwale.com/hyundai-cars/ioniq-6/,carwale
hyundai,Hyundai,sub-compact-ev-suv,Sub Compact Ev Suv,https://www.carwale.com/hyundai-cars/sub-compact-ev-suv/,carwale
hyundai,Hyundai,new-i20,New I20,https://www.carwale.com/hyundai-cars/new-i20/,carwale
hyundai,Hyundai,ioniq-9,Ioniq 9,https://www.carwale.com/hyundai-cars/ioniq-9/,carwale
hyundai,Hyundai,palisade,Palisade,https://www.carwale.com/hyundai-cars/palisade/,carwale
hyundai,Hyundai,new-santa-fe,New Santa Fe,https://www.carwale.com/hyundai-cars/new-santa-fe/,carwale
hyundai,Hyundai,stargazer,Stargazer,https://www.carwale.com/hyundai-cars/stargazer/,carwale
hyundai,Hyundai,staria,Staria,https://www.carwale.com/hyundai-cars/staria/,carwale
hyundai,Hyundai,boulder,Boulder,https://www.carwale.com/hyundai-cars/boulder/,carwale
hyundai,Hyundai,tucson,Tucson,https://www.carwale.com/hyundai-cars/tucson/,carwale
hyundai,Hyundai,accent,Accent,https://www.carwale.com/hyundai-cars/accent/,carwale
hyundai,Hyundai,elantra,Elantra,https://www.carwale.com/hyundai-cars/elantra/,carwale
hyundai,Hyundai,getzprime20072010,Getzprime20072010,https://www.carwale.com/hyundai-cars/getzprime20072010/,carwale
hyundai,Hyundai,santro,Santro,https://www.carwale.com/hyundai-cars/santro/,carwale
hyundai,Hyundai,sonata,Sonata,https://www.carwale.com/hyundai-cars/sonata/,carwale
hyundai,Hyundai,terracan20032006,Terracan20032006,https://www.carwale.com/hyundai-cars/terracan20032006/,carwale
hyundai,Hyundai,eon,Eon,https://www.carwale.com/hyundai-cars/eon/,carwale
hyundai,Hyundai,grand-i10,Grand I10,https://www.carwale.com/hyundai-cars/grand-i10/,carwale
hyundai,Hyundai,xcent,Xcent,https://www.carwale.com/hyundai-cars/xcent/,carwale
hyundai,Hyundai,i20-active,I20 Active,https://www.carwale.com/hyundai-cars/i20-active/,carwale
hyundai,Hyundai,new-kona,New Kona,https://www.carwale.com/hyundai-cars/new-kona/,carwale
hyundai,Hyundai,casper,Casper,https://www.carwale.com/hyundai-cars/casper/,carwale
hyundai,Hyundai,genesis,Genesis,https://www.carwale.com/hyundai-cars/genesis/,carwale
isuzu,Isuzu,v-cross,V Cross,https://www.carwale.com/isuzu-cars/v-cross/,carwale
