brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Tata,Harrier,Fearless X Plus  Petrol 1.5L Turbo Automatic,fearless-x-plus-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-petrol-15l-turbo-automatic/,Rs. 26.27 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-petrol-15l-turbo-automatic/,2026-06-17 21:47:15
Tata,Harrier,Fearless X Plus  Petrol 1.5L Turbo Manual,fearless-x-plus-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-petrol-15l-turbo-manual/,Rs. 26.27 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-petrol-15l-turbo-manual/,2026-06-17 21:47:19
Tata,Harrier,Pure,pure,https://www.carwale.com/tata-cars/harrier/pure/,Rs. 12.89 Lakh,Petrol,Manual,1498cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/pure/,2026-06-17 21:47:23
Tata,Harrier,Pure Plus (S) AT,pure-plus-s-at,https://www.carwale.com/tata-cars/harrier/pure-plus-s-at/,Rs. 12.89 Lakh,Petrol,Manual,1498cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/pure-plus-s-at/,2026-06-17 21:47:27
Tata,Harrier,Pure X Dark Edition Diesel 2.0L Turbo Automatic,pure-x-dark-edition-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-diesel-20l-turbo-automatic/,Rs. 21.15 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-diesel-20l-turbo-automatic/,2026-06-17 21:47:32
Tata,Harrier,Pure X Dark Edition Diesel 2.0L Turbo Manual,pure-x-dark-edition-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-diesel-20l-turbo-manual/,Rs. 21.15 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-diesel-20l-turbo-manual/,2026-06-17 21:47:36
Tata,Harrier,Pure X Dark Edition Petrol 1.5L Turbo Automatic,pure-x-dark-edition-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-petrol-15l-turbo-automatic/,Rs. 21.15 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-dark-edition-petrol-15l-turbo-automatic/,2026-06-17 21:47:39
Tata,Harrier,Pure X Diesel 2.0L Turbo Automatic,pure-x-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/pure-x-diesel-20l-turbo-automatic/,Rs. 18.93 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-diesel-20l-turbo-automatic/,2026-06-17 21:47:43
Tata,Harrier,Pure X Diesel 2.0L Turbo Manual,pure-x-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/pure-x-diesel-20l-turbo-manual/,Rs. 18.93 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-diesel-20l-turbo-manual/,2026-06-17 21:47:47
Tata,Harrier,Pure X Petrol 1.5L Turbo Automatic,pure-x-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-automatic/,Rs. 18.93 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-automatic/,2026-06-17 21:47:52
Tata,Harrier,Pure X Petrol 1.5L Turbo Manual,pure-x-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-manual/,Rs. 18.93 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-manual/,2026-06-17 21:47:56
Tata,Harrier,Pure X Petrol 1.5L Turbo Manual Dark Edition,pure-x-petrol-15l-turbo-manual-dark-edition,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-manual-dark-edition/,Rs. 18.93 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/pure-x-petrol-15l-turbo-manual-dark-edition/,2026-06-17 21:47:59
Tata,Harrier,Smart Diesel 2.0L Turbo Manual,smart-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/smart-diesel-20l-turbo-manual/,Rs. 15.33 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/smart-diesel-20l-turbo-manual/,2026-06-17 21:48:03
Tata,Harrier,Smart Petrol 1.5L Turbo Manual,smart-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/smart-petrol-15l-turbo-manual/,Rs. 15.33 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/smart-petrol-15l-turbo-manual/,2026-06-17 21:48:07
Tata,Harrier,Stealth Edition Diesel 2.0L Turbo Automatic,stealth-edition-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/stealth-edition-diesel-20l-turbo-automatic/,Rs. 28.90 Lakh,Diesel,Manual,1956 cc,,168 bhp,350 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/stealth-edition-diesel-20l-turbo-automatic/,2026-06-17 21:48:11
Tata,Harrier,Stealth Edition Diesel 2.0L Turbo Manual,stealth-edition-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/stealth-edition-diesel-20l-turbo-manual/,Rs. 28.90 Lakh,Diesel,Manual,1956 cc,,168 bhp,350 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/stealth-edition-diesel-20l-turbo-manual/,2026-06-17 21:48:16
Tata,Punch Ev,Adventure 40.0 kWh,adventure-400-kwh,https://www.carwale.com/tata-cars/punch-ev/adventure-400-kwh/,Rs. 12.34 Lakh,Electric,Automatic,40 kWh Battery,,127 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/adventure-400-kwh/,2026-06-17 21:48:20
Tata,Punch Ev,Empowered  40.0 kWh,empowered-400-kwh,https://www.carwale.com/tata-cars/punch-ev/empowered-400-kwh/,Rs. 13.08 Lakh,Electric,Automatic,40 kWh Battery,,127 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/empowered-400-kwh/,2026-06-17 21:48:23
Tata,Punch Ev,Empowered Plus S 40.0 kWh,empowered-plus-s-400-kwh,https://www.carwale.com/tata-cars/punch-ev/empowered-plus-s-400-kwh/,Rs. 13.39 Lakh,Electric,Automatic,40 kWh Battery,,127 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/empowered-plus-s-400-kwh/,2026-06-17 21:48:27
Tata,Punch Ev,Smart 30.0 kWh,smart-300-kwh,https://www.carwale.com/tata-cars/punch-ev/smart-300-kwh/,Rs. 10.20 Lakh,Electric,Automatic,30 kWh Battery,,87 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/smart-300-kwh/,2026-06-17 21:48:31
Tata,Punch Ev,Smart Plus 30.0 kWh,smart-plus-300-kwh,https://www.carwale.com/tata-cars/punch-ev/smart-plus-300-kwh/,Rs. 10.92 Lakh,Electric,Automatic,30 kWh Battery,,87 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/smart-plus-300-kwh/,2026-06-17 21:48:35
Tata,Punch Ev,Smart Plus 40.0 kWh,smart-plus-400-kwh,https://www.carwale.com/tata-cars/punch-ev/smart-plus-400-kwh/,Rs. 10.92 Lakh,Electric,Automatic,30 kWh Battery,,87 bhp,154 Nm,5,6,SUV,https://www.carwale.com/tata-cars/punch-ev/smart-plus-400-kwh/,2026-06-17 21:48:39
Tata,Altroz,Accomplished Plus S Petrol 1.2L Automatic (DCT),accomplished-plus-s-petrol-12l-automatic-dct,https://www.carwale.com/tata-cars/altroz/accomplished-plus-s-petrol-12l-automatic-dct/,Rs. 12.51 Lakh,Petrol,Automatic,1199 cc,,87 bhp,115 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-plus-s-petrol-12l-automatic-dct/,2026-06-17 21:48:43
Tata,Altroz,Accomplished S CNG 1.2L Automatic (AMT),accomplished-s-cng-12l-automatic-amt,https://www.carwale.com/tata-cars/altroz/accomplished-s-cng-12l-automatic-amt/,Rs. 8.30 Lakh,,Manual,1199 cc,,72 bhp,103 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-s-cng-12l-automatic-amt/,2026-06-17 21:48:47
Tata,Altroz,Accomplished S CNG 1.2L Manual,accomplished-s-cng-12l-manual,https://www.carwale.com/tata-cars/altroz/accomplished-s-cng-12l-manual/,Rs. 8.30 Lakh,,Manual,1199 cc,,72 bhp,103 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-s-cng-12l-manual/,2026-06-17 21:48:51
Tata,Altroz,Accomplished S Diesel 1.5L Turbo Manual,accomplished-s-diesel-15l-turbo-manual,https://www.carwale.com/tata-cars/altroz/accomplished-s-diesel-15l-turbo-manual/,Rs. 10.70 Lakh,Petrol,Manual,1199 cc,,87 bhp,115 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-s-diesel-15l-turbo-manual/,2026-06-17 21:48:54
Tata,Altroz,Accomplished S Petrol 1.2L Automatic (DCT),accomplished-s-petrol-12l-automatic-dct,https://www.carwale.com/tata-cars/altroz/accomplished-s-petrol-12l-automatic-dct/,Rs. 10.70 Lakh,Petrol,Manual,1199 cc,,87 bhp,115 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-s-petrol-12l-automatic-dct/,2026-06-17 21:48:58
Tata,Altroz,Accomplished S Petrol 1.2L Manual,accomplished-s-petrol-12l-manual,https://www.carwale.com/tata-cars/altroz/accomplished-s-petrol-12l-manual/,Rs. 10.70 Lakh,Petrol,Manual,1199 cc,,87 bhp,115 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/accomplished-s-petrol-12l-manual/,2026-06-17 21:49:02
Tata,Altroz,Creative CNG 1.2L Automatic (AMT),creative-cng-12l-automatic-amt,https://www.carwale.com/tata-cars/altroz/creative-cng-12l-automatic-amt/,Rs. 8.30 Lakh,,Manual,1199 cc,,72 bhp,103 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/creative-cng-12l-automatic-amt/,2026-06-17 21:49:06
Tata,Altroz,Creative CNG 1.2L Manual,creative-cng-12l-manual,https://www.carwale.com/tata-cars/altroz/creative-cng-12l-manual/,Rs. 8.30 Lakh,,Manual,1199 cc,,72 bhp,103 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/creative-cng-12l-manual/,2026-06-17 21:49:10
Tata,Altroz,Creative Petrol 1.2L Automatic (AMT),creative-petrol-12l-automatic-amt,https://www.carwale.com/tata-cars/altroz/creative-petrol-12l-automatic-amt/,Rs. 9.34 Lakh,Petrol,Manual,1199 cc,,87 bhp,115 Nm,5,6,Hatchback,https://www.carwale.com/tata-cars/altroz/creative-petrol-12l-automatic-amt/,2026-06-17 21:49:13
