brand_slug,brand_name,model_slug,model_name,variant_slug,variant_name,variant_url
bmw,BMW,2-series-gran-coupe,2 Series Gran Coupe,218-m-sport-pro,218 M Sport Pro,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport-pro/
bmw,BMW,m4,M4,competition,Competition,https://www.carwale.com/bmw-cars/m4/competition/
bmw,BMW,m4,M4,cs,Cs,https://www.carwale.com/bmw-cars/m4/cs/
bmw,BMW,x1,X1,sdrive18i-m-sport,Sdrive18I M Sport,https://www.carwale.com/bmw-cars/x1/sdrive18i-m-sport/
bmw,BMW,x1,X1,sdrive18d-m-sport,Sdrive18D M Sport,https://www.carwale.com/bmw-cars/x1/sdrive18d-m-sport/
bmw,BMW,m340i,M340I,50-jahre-edition,50 Jahre Edition,https://www.carwale.com/bmw-cars/m340i/50-jahre-edition/
bmw,BMW,m340i,M340I,xdrive,Xdrive,https://www.carwale.com/bmw-cars/m340i/xdrive/
bmw,BMW,x3,X3,xdrive20-petrol-20l-turbo-automatic,Xdrive20 Petrol 20L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive20-petrol-20l-turbo-automatic/
bmw,BMW,x3,X3,xdrive20d-diesel-20l-turbo-automatic,Xdrive20D Diesel 20L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive20d-diesel-20l-turbo-automatic/
bmw,BMW,x3,X3,xdrive-30-m-sport-pro-petrol-20l-turbo-automatic,Xdrive 30 M Sport Pro Petrol 20L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive-30-m-sport-pro-petrol-20l-turbo-automatic/
bmw,BMW,x5,X5,xdrive40i-xline,Xdrive40I Xline,https://www.carwale.com/bmw-cars/x5/xdrive40i-xline/
bmw,BMW,x5,X5,xdrive30d-xline,Xdrive30D Xline,https://www.carwale.com/bmw-cars/x5/xdrive30d-xline/
bmw,BMW,x5,X5,xdrive40i-m-sport-pro,Xdrive40I M Sport Pro,https://www.carwale.com/bmw-cars/x5/xdrive40i-m-sport-pro/
bmw,BMW,x5,X5,xdrive30d-m-sport-pro,Xdrive30D M Sport Pro,https://www.carwale.com/bmw-cars/x5/xdrive30d-m-sport-pro/
bmw,BMW,m440i,M440I,xdrive-convertible-petrol-turbo-automatic,Xdrive Convertible Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m440i/xdrive-convertible-petrol-turbo-automatic/
bmw,BMW,7-series,7 Series,740d-m-sport,740D M Sport,https://www.carwale.com/bmw-cars/7-series/740d-m-sport/
bmw,BMW,7-series,7 Series,740i-m-sport,740I M Sport,https://www.carwale.com/bmw-cars/7-series/740i-m-sport/
bmw,BMW,m2,M2,30-petrol-petrol-turbo-automatic,30 Petrol Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m2/30-petrol-petrol-turbo-automatic/
bmw,BMW,m2,M2,30-petrol-petrol-turbo-manual,30 Petrol Petrol Turbo Manual,https://www.carwale.com/bmw-cars/m2/30-petrol-petrol-turbo-manual/
bmw,BMW,m2,M2,cs-petrol-turbo-automatic,Cs Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m2/cs-petrol-turbo-automatic/
