brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Lexus,Rx,RX 500h F-Sport Plus Hybrid (Electric + Petrol) 2.4L Automatic,rx-500h-f-sport-plus-hybrid-electric-petrol-2-4l-automatic,https://www.carwale.com/lexus-cars/rx/rx-500h-f-sport-plus-hybrid-electric-plus-petrol-24l-automatic/,Rs. 1.09 Crore,Hybrid,Automatic,2393 cc,,242 bhp,460 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/rx/rx-500h-f-sport-plus-hybrid-electric-plus-petrol-24l-automatic/,2026-06-19 10:52:31
Lexus,Ls,500h Distinct,500h-distinct,https://www.carwale.com/lexus-cars/ls/500h-distinct/,Rs. 1.94 Crore,Hybrid,Automatic,3456 cc,,290 bhp,350 Nm,4,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-distinct/,2026-06-19 10:52:32
Lexus,Ls,500h Kiriko,500h-kiriko,https://www.carwale.com/lexus-cars/ls/500h-kiriko/,Rs. 2.27 Crore,Hybrid,Automatic,3456 cc,,292 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-kiriko/,2026-06-19 10:52:33
Lexus,Ls,500h Luxury,500h-luxury,https://www.carwale.com/lexus-cars/ls/500h-luxury/,Rs. 1.96 Crore,Hybrid,Automatic,3456 cc,,292 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-luxury/,2026-06-19 10:52:33
Lexus,Ls,500h Luxury [2018-2020],500h-luxury-2018-2020,https://www.carwale.com/lexus-cars/ls/500h-luxury-2018-2020/,Rs. 1.82 Crore,Hybrid,Automatic,3456 cc,,290 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-luxury-2018-2020/,2026-06-19 10:52:34
Lexus,Ls,500h Nishijin,500h-nishijin,https://www.carwale.com/lexus-cars/ls/500h-nishijin/,Rs. 2.27 Crore,Hybrid,Automatic,3456 cc,,292 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-nishijin/,2026-06-19 10:52:34
Lexus,Ls,500h Ultra Luxury,500h-ultra-luxury,https://www.carwale.com/lexus-cars/ls/500h-ultra-luxury/,Rs. 2.01 Crore,Hybrid,Automatic,3456 cc,,292 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-ultra-luxury/,2026-06-19 10:52:36
Lexus,Ls,500h Ultra Luxury [2018-2020],500h-ultra-luxury-2018-2020,https://www.carwale.com/lexus-cars/ls/500h-ultra-luxury-2018-2020/,Rs. 1.87 Crore,Hybrid,Automatic,3456 cc,,290 bhp,350 Nm,5,14,Sedan,https://www.carwale.com/lexus-cars/ls/500h-ultra-luxury-2018-2020/,2026-06-19 10:52:36
Lexus,Lc 500H,Limited Edition,limited-edition,https://www.carwale.com/lexus-cars/lc-500h/limited-edition/,Rs. 2.51 Crore,Hybrid,Automatic,3456 cc,,295 bhp,350 Nm,4,8,Coupe,https://www.carwale.com/lexus-cars/lc-500h/limited-edition/,2026-06-19 10:52:37
Lexus,Lc 500H,Limited Edition [2021-2022],limited-edition-2021-2022,https://www.carwale.com/lexus-cars/lc-500h/limited-edition-2021-2022/,Rs. 2.16 Crore,Hybrid,Automatic,3456 cc,,295 bhp,350 Nm,4,8,Coupe,https://www.carwale.com/lexus-cars/lc-500h/limited-edition-2021-2022/,2026-06-19 10:52:38
Lexus,Lc 500H,Sport Plus,sport-plus,https://www.carwale.com/lexus-cars/lc-500h/sport-plus/,Rs. 2.39 Crore,Hybrid,Automatic,3456 cc,,295 bhp,350 Nm,4,8,Coupe,https://www.carwale.com/lexus-cars/lc-500h/sport-plus/,2026-06-19 10:52:38
Lexus,Gs350,Twin Turbo 3.5,twin-turbo-3-5,https://www.carwale.com/lexus-cars/gs350/twin-turbo-35/,Rs. 1.25 Lakh,Petrol,Automatic,2487 cc,,338 bhp,,5,,,https://www.carwale.com/lexus-cars/gs350/twin-turbo-35/,2026-06-19 10:52:39
Lexus,Sc430,Convertible,convertible,https://www.carwale.com/lexus-cars/sc430/convertible/,Rs. 55.00 Lakh,Petrol,Automatic,2487 cc,,338 bhp,,5,,,https://www.carwale.com/lexus-cars/sc430/convertible/,2026-06-19 10:52:40
Lotus,Emeya,GT,gt,https://www.carwale.com/lotus-cars/emeya/gt/,Rs. 2.34 Crore,Electric,Automatic,102 kWh Battery,,905 bhp,710Nm,5,,Coupe,https://www.carwale.com/lotus-cars/emeya/gt/,2026-06-19 10:52:41
Lotus,Eletre,R,r,https://www.carwale.com/lotus-cars/eletre/r/,Rs. 2.99 Crore,Electric,Automatic,675 kWh Battery,,905 bhp,985 Nm,5,8,SUV,https://www.carwale.com/lotus-cars/eletre/r/,2026-06-19 10:52:41
Lotus,Eletre,S,s,https://www.carwale.com/lotus-cars/eletre/s/,Rs. 2.75 Crore,Electric,Automatic,112 kWh Battery,,603 bhp,710 Nm,5,8,SUV,https://www.carwale.com/lotus-cars/eletre/s/,2026-06-19 10:52:42
Lotus,Eletre,Standard,standard,https://www.carwale.com/lotus-cars/eletre/standard/,Rs. 2.55 Crore,Electric,Automatic,112 kWh Battery,,603 bhp,710 Nm,5,8,SUV,https://www.carwale.com/lotus-cars/eletre/standard/,2026-06-19 10:52:43
